start_date,end_date,sales,customer,status,product,revenue
1/3/2019,1/12/2019,S57,C644,negotiation,Pru Accident Guard Plus,7400000
1/3/2019,1/12/2019,S70,C237,drop,Pru Accident Guard,9900000
1/3/2019,1/12/2019,S79,C858,offering,Smart Protection Mortgage,2400000
1/3/2019,1/12/2019,S36,C748,identified,Prumortgage Protection,5400000
1/3/2019,1/12/2019,S16,C299,closed,Credit Life Insurance,7600000
1/3/2019,1/12/2019,S51,C223,drop,Smart Life Protection,6800000
1/3/2019,1/12/2019,S68,C747,drop,Smart Life Protection,7100000
1/3/2019,1/12/2019,S6,C423,identified,Pru Accident Guard Plus,1400000
1/3/2019,1/12/2019,S23,C874,initial,Indonesian Fire Insurance Standard Policy,5100000
1/3/2019,1/12/2019,S59,C744,initial,Pru Accident Cover,3900000
1/3/2019,1/13/2019,S30,C63,offering,Pru Accident Guard,9500000
1/3/2019,1/13/2019,S76,C81,closed,Smart Life Protection,2400000
1/3/2019,1/13/2019,S49,C751,offering,Pru Accident Guard,2400000
1/3/2019,1/13/2019,S32,C264,offering,Smart Life Protection,6100000
1/3/2019,1/13/2019,S55,C391,negotiation,Versa Credit Protection,1600000
1/3/2019,1/13/2019,S41,C781,offering,Pru Accident Cover,8000000
1/3/2019,1/13/2019,S62,C311,initial,Versa Credit Protection,4700000
1/3/2019,1/13/2019,S39,C432,offering,Versa Credit Protection,1600000
1/3/2019,1/13/2019,S26,C242,closed,Pru Accident Guard Plus,8800000
1/4/2019,1/13/2019,S28,C891,initial,Injuries Protection (AIG),2800000
1/4/2019,1/13/2019,S31,C286,offering,Indonesian Fire Insurance Standard Policy,1900000
1/4/2019,1/13/2019,S44,C904,offering,Indonesian Fire Insurance Standard Policy,9700000
1/4/2019,1/13/2019,S76,C466,closed,Injuries Protection (AIG),5700000
1/4/2019,1/13/2019,S67,C359,negotiation,Prumortgage Protection,4300000
1/4/2019,1/13/2019,S84,C341,negotiation,Credit Life Insurance,7400000
1/4/2019,1/14/2019,S62,C134,initial,Smart Protection Mortgage,8800000
1/4/2019,1/14/2019,S35,C993,drop,Pru Accident Guard Plus,8600000
1/4/2019,1/14/2019,S26,C444,identified,Versa Credit Protection,4500000
1/4/2019,1/14/2019,S81,C714,negotiation,Pru Accident Cover,8400000
1/4/2019,1/14/2019,S43,C245,closed,Pru Accident Guard,5900000
1/4/2019,1/14/2019,S90,C326,initial,Personal Belongings Protection,8800000
1/4/2019,1/14/2019,S43,C718,negotiation,Pru Accident Cover,6300000
1/4/2019,1/14/2019,S69,C683,initial,Pru Accident Guard Plus,1400000
1/4/2019,1/14/2019,S42,C387,drop,Credit Life Insurance,1000000
1/4/2019,1/14/2019,S34,C257,negotiation,Pru Accident Guard Plus,8100000
1/4/2019,1/14/2019,S20,C303,initial,Pru Accident Cover,2800000
1/4/2019,1/14/2019,S72,C143,identified,Personal Belongings Protection,5200000
1/4/2019,1/14/2019,S47,C12,offering,Personal Belongings Protection,1700000
1/4/2019,1/14/2019,S99,C89,initial,Personal Belongings Protection,9800000
1/4/2019,1/14/2019,S24,C741,offering,Credit Life Insurance,4900000
1/4/2019,1/14/2019,S45,C522,closed,Prumortgage Protection,4100000
1/4/2019,1/14/2019,S13,C790,initial,Personal Belongings Protection,2400000
1/4/2019,1/14/2019,S49,C144,negotiation,Pru Accident Guard Plus,3300000
1/4/2019,1/14/2019,S63,C758,drop,Personal Belongings Protection,2900000
1/4/2019,1/14/2019,S62,C668,negotiation,Pru Accident Guard Plus,9000000
1/4/2019,1/14/2019,S60,C834,initial,Smart Protection Mortgage,3000000
1/5/2019,1/15/2019,S34,C578,identified,Credit Life Insurance,7300000
1/5/2019,1/15/2019,S34,C489,identified,Versa Credit Protection,5400000
1/5/2019,1/15/2019,S26,C632,drop,Indonesian Fire Insurance Standard Policy,8500000
1/5/2019,1/15/2019,S78,C851,offering,Credit Life Insurance,2200000
1/5/2019,1/15/2019,S22,C873,closed,Indonesian Fire Insurance Standard Policy,1500000
1/5/2019,1/15/2019,S1,C666,closed,Personal Belongings Protection,400000
1/5/2019,1/15/2019,S97,C766,offering,Prumortgage Protection,4000000
1/5/2019,1/15/2019,S10,C524,negotiation,Pru Accident Guard,1200000
1/5/2019,1/15/2019,S42,C863,negotiation,Pru Accident Guard Plus,4500000
1/5/2019,1/15/2019,S11,C862,initial,Versa Credit Protection,8600000
1/5/2019,1/15/2019,S95,C239,offering,Credit Life Insurance,6900000
1/5/2019,1/15/2019,S24,C648,negotiation,Credit Life Insurance,4600000
1/5/2019,1/15/2019,S82,C967,identified,Smart Protection Mortgage,7800000
1/5/2019,1/15/2019,S57,C173,negotiation,Versa Credit Protection,7100000
1/5/2019,1/15/2019,S92,C515,drop,Smart Protection Mortgage,3700000
1/5/2019,1/15/2019,S81,C290,closed,Credit Life Insurance,1700000
1/5/2019,1/16/2019,S75,C43,drop,Injuries Protection (AIG),9400000
1/5/2019,1/16/2019,S89,C544,initial,Credit Life Insurance,3100000
1/5/2019,1/16/2019,S98,C939,negotiation,Credit Life Insurance,5300000
1/5/2019,1/16/2019,S42,C673,drop,Versa Credit Protection,9700000
1/5/2019,1/16/2019,S12,C594,identified,Pru Accident Guard,8500000
1/5/2019,1/16/2019,S43,C530,initial,Prumortgage Protection,2700000
1/5/2019,1/16/2019,S76,C791,offering,Pru Accident Cover,8100000
1/5/2019,1/16/2019,S99,C502,negotiation,Credit Life Insurance,8000000
1/5/2019,1/16/2019,S3,C38,closed,Pru Accident Guard,6600000
1/5/2019,1/16/2019,S15,C946,identified,Personal Belongings Protection,3800000
1/5/2019,1/16/2019,S13,C155,closed,Pru Accident Guard,100000
1/5/2019,1/16/2019,S69,C766,initial,Pru Accident Cover,2700000
1/5/2019,1/16/2019,S47,C66,initial,Versa Credit Protection,9300000
1/5/2019,1/16/2019,S86,C660,closed,Prumortgage Protection,8600000
1/5/2019,1/16/2019,S40,C182,closed,Injuries Protection (AIG),1200000
1/5/2019,1/16/2019,S87,C939,negotiation,Pru Accident Guard Plus,7900000
1/5/2019,1/16/2019,S94,C976,drop,Smart Life Protection,6500000
1/5/2019,1/16/2019,S71,C995,negotiation,Personal Belongings Protection,2200000
1/5/2019,1/16/2019,S5,C707,negotiation,Pru Accident Guard,2500000
1/5/2019,1/16/2019,S83,C491,drop,Injuries Protection (AIG),7200000
1/5/2019,1/16/2019,S29,C813,initial,Injuries Protection (AIG),9000000
1/5/2019,1/16/2019,S93,C960,drop,Prumortgage Protection,2200000
1/5/2019,1/16/2019,S83,C436,drop,Smart Life Protection,2700000
1/5/2019,1/17/2019,S28,C929,negotiation,Smart Protection Mortgage,4700000
1/6/2019,1/17/2019,S13,C506,offering,Indonesian Fire Insurance Standard Policy,8200000
1/6/2019,1/17/2019,S45,C392,drop,Smart Life Protection,3100000
1/6/2019,1/17/2019,S41,C207,identified,Pru Accident Cover,9000000
1/6/2019,1/17/2019,S17,C315,initial,Personal Belongings Protection,2200000
1/6/2019,1/17/2019,S51,C916,negotiation,Smart Life Protection,4800000
1/6/2019,1/17/2019,S9,C627,offering,Pru Accident Cover,800000
1/6/2019,1/17/2019,S96,C291,closed,Indonesian Fire Insurance Standard Policy,1500000
1/6/2019,1/17/2019,S41,C890,identified,Pru Accident Guard,600000
1/6/2019,1/17/2019,S29,C823,negotiation,Prumortgage Protection,8800000
1/6/2019,1/17/2019,S68,C773,closed,Injuries Protection (AIG),6800000
1/6/2019,1/17/2019,S23,C740,closed,Pru Accident Cover,3300000
1/6/2019,1/17/2019,S62,C559,identified,Injuries Protection (AIG),8900000
1/6/2019,1/17/2019,S23,C690,drop,Injuries Protection (AIG),3500000
1/6/2019,1/17/2019,S10,C485,drop,Pru Accident Guard,1200000
1/6/2019,1/17/2019,S52,C956,initial,Pru Accident Guard Plus,7400000
1/6/2019,1/17/2019,S74,C731,offering,Credit Life Insurance,6600000
1/6/2019,1/18/2019,S6,C883,drop,Pru Accident Guard Plus,7800000
1/6/2019,1/18/2019,S81,C697,drop,Pru Accident Guard Plus,8400000
1/6/2019,1/18/2019,S14,C632,closed,Pru Accident Guard,5500000
1/6/2019,1/18/2019,S10,C508,identified,Smart Life Protection,6800000
1/6/2019,1/18/2019,S14,C706,identified,Smart Life Protection,4400000
1/6/2019,1/18/2019,S33,C194,offering,Indonesian Fire Insurance Standard Policy,4500000
1/6/2019,1/18/2019,S2,C59,offering,Pru Accident Cover,9000000
1/6/2019,1/18/2019,S35,C929,drop,Pru Accident Guard Plus,9800000
1/6/2019,1/18/2019,S96,C81,closed,Smart Life Protection,200000
1/6/2019,1/18/2019,S24,C860,negotiation,Versa Credit Protection,7000000
1/6/2019,1/18/2019,S73,C483,offering,Injuries Protection (AIG),5600000
1/6/2019,1/18/2019,S90,C240,drop,Indonesian Fire Insurance Standard Policy,7500000
1/6/2019,1/18/2019,S93,C596,closed,Credit Life Insurance,6900000
1/7/2019,1/18/2019,S43,C620,identified,Smart Life Protection,500000
1/7/2019,1/18/2019,S13,C86,closed,Prumortgage Protection,2100000
1/7/2019,1/18/2019,S1,C216,negotiation,Pru Accident Guard Plus,2500000
1/7/2019,1/18/2019,S53,C195,negotiation,Indonesian Fire Insurance Standard Policy,5200000
1/7/2019,1/18/2019,S96,C37,offering,Pru Accident Cover,3900000
1/7/2019,1/18/2019,S9,C816,closed,Pru Accident Cover,3600000
1/7/2019,1/18/2019,S83,C271,closed,Credit Life Insurance,5000000
1/7/2019,1/18/2019,S98,C783,offering,Personal Belongings Protection,7900000
1/7/2019,1/18/2019,S76,C960,identified,Pru Accident Guard,4500000
1/7/2019,1/19/2019,S51,C643,offering,Smart Protection Mortgage,5200000
1/7/2019,1/19/2019,S21,C155,initial,Personal Belongings Protection,5500000
1/7/2019,1/19/2019,S67,C78,negotiation,Personal Belongings Protection,4600000
1/7/2019,1/19/2019,S66,C232,negotiation,Personal Belongings Protection,1800000
1/7/2019,1/19/2019,S8,C103,identified,Versa Credit Protection,3400000
1/7/2019,1/19/2019,S49,C602,offering,Pru Accident Cover,5700000
1/7/2019,1/19/2019,S8,C492,initial,Pru Accident Guard,7100000
1/7/2019,1/19/2019,S37,C726,identified,Credit Life Insurance,5500000
1/7/2019,1/19/2019,S85,C404,initial,Smart Protection Mortgage,6100000
1/7/2019,1/19/2019,S19,C76,identified,Prumortgage Protection,4300000
1/7/2019,1/19/2019,S36,C542,drop,Pru Accident Cover,4000000
1/7/2019,1/19/2019,S56,C810,drop,Pru Accident Guard,6800000
1/7/2019,1/19/2019,S30,C475,identified,Pru Accident Cover,3600000
1/7/2019,1/19/2019,S68,C179,negotiation,Pru Accident Cover,200000
1/7/2019,1/19/2019,S25,C538,closed,Indonesian Fire Insurance Standard Policy,4600000
1/7/2019,1/20/2019,S67,C275,drop,Pru Accident Guard,600000
1/7/2019,1/20/2019,S44,C793,identified,Indonesian Fire Insurance Standard Policy,1700000
1/7/2019,1/20/2019,S56,C376,initial,Smart Protection Mortgage,200000
1/8/2019,1/20/2019,S38,C578,drop,Prumortgage Protection,3200000
1/8/2019,1/20/2019,S99,C837,closed,Versa Credit Protection,4300000
1/8/2019,1/20/2019,S8,C661,initial,Prumortgage Protection,9700000
1/8/2019,1/20/2019,S50,C499,negotiation,Pru Accident Cover,3200000
1/8/2019,1/20/2019,S76,C162,closed,Prumortgage Protection,6300000
1/8/2019,1/20/2019,S32,C821,drop,Indonesian Fire Insurance Standard Policy,9000000
1/8/2019,1/20/2019,S47,C718,negotiation,Smart Life Protection,4900000
1/8/2019,1/20/2019,S77,C479,negotiation,Credit Life Insurance,9800000
1/8/2019,1/20/2019,S67,C977,drop,Smart Life Protection,200000
1/8/2019,1/20/2019,S72,C948,negotiation,Injuries Protection (AIG),8000000
1/8/2019,1/20/2019,S9,C177,initial,Pru Accident Guard,7800000
1/8/2019,1/20/2019,S53,C489,identified,Smart Protection Mortgage,6800000
1/8/2019,1/20/2019,S13,C439,identified,Credit Life Insurance,7000000
1/8/2019,1/20/2019,S99,C677,initial,Pru Accident Cover,2200000
1/8/2019,1/20/2019,S46,C618,initial,Smart Protection Mortgage,4100000
1/8/2019,1/20/2019,S75,C404,initial,Pru Accident Guard,8800000
1/8/2019,1/20/2019,S12,C367,negotiation,Pru Accident Guard Plus,4900000
1/8/2019,1/20/2019,S51,C234,initial,Pru Accident Guard,7200000
1/8/2019,1/20/2019,S43,C299,drop,Prumortgage Protection,7800000
1/8/2019,1/20/2019,S36,C836,negotiation,Pru Accident Guard,8800000
1/8/2019,1/20/2019,S77,C971,negotiation,Smart Life Protection,900000
1/8/2019,1/20/2019,S24,C472,initial,Indonesian Fire Insurance Standard Policy,100000
1/8/2019,1/20/2019,S83,C688,offering,Injuries Protection (AIG),6800000
1/8/2019,1/20/2019,S30,C879,initial,Versa Credit Protection,1100000
1/9/2019,1/21/2019,S6,C840,drop,Prumortgage Protection,3100000
1/9/2019,1/21/2019,S35,C102,identified,Indonesian Fire Insurance Standard Policy,9500000
1/9/2019,1/21/2019,S74,C982,closed,Pru Accident Guard Plus,1700000
1/9/2019,1/21/2019,S28,C92,drop,Prumortgage Protection,1500000
1/9/2019,1/21/2019,S5,C933,identified,Injuries Protection (AIG),3500000
1/9/2019,1/21/2019,S59,C167,negotiation,Injuries Protection (AIG),1700000
1/9/2019,1/21/2019,S58,C303,drop,Prumortgage Protection,5300000
1/9/2019,1/21/2019,S84,C98,identified,Credit Life Insurance,2600000
1/9/2019,1/21/2019,S92,C716,closed,Personal Belongings Protection,8500000
1/9/2019,1/21/2019,S63,C358,identified,Injuries Protection (AIG),6000000
1/9/2019,1/21/2019,S53,C347,drop,Credit Life Insurance,2000000
1/9/2019,1/21/2019,S61,C649,initial,Versa Credit Protection,1800000
1/9/2019,1/22/2019,S80,C728,identified,Prumortgage Protection,600000
1/9/2019,1/22/2019,S57,C995,identified,Personal Belongings Protection,1200000
1/9/2019,1/22/2019,S27,C671,identified,Personal Belongings Protection,1300000
1/9/2019,1/22/2019,S80,C581,drop,Personal Belongings Protection,7100000
1/9/2019,1/22/2019,S52,C751,closed,Personal Belongings Protection,1400000
1/9/2019,1/22/2019,S49,C547,closed,Pru Accident Guard Plus,6300000
1/9/2019,1/22/2019,S39,C72,closed,Indonesian Fire Insurance Standard Policy,2100000
1/9/2019,1/22/2019,S38,C830,negotiation,Indonesian Fire Insurance Standard Policy,1000000
1/9/2019,1/22/2019,S16,C812,negotiation,Pru Accident Guard,9100000
1/9/2019,1/22/2019,S34,C132,initial,Pru Accident Cover,3800000
1/10/2019,1/22/2019,S75,C839,initial,Pru Accident Guard,4300000
1/10/2019,1/22/2019,S83,C848,closed,Smart Protection Mortgage,4700000
1/10/2019,1/22/2019,S56,C921,closed,Versa Credit Protection,500000
1/10/2019,1/22/2019,S34,C54,drop,Pru Accident Guard Plus,5300000
1/10/2019,1/22/2019,S8,C699,initial,Personal Belongings Protection,6000000
1/10/2019,1/22/2019,S70,C319,negotiation,Personal Belongings Protection,6100000
1/10/2019,1/22/2019,S80,C889,identified,Credit Life Insurance,8500000
1/10/2019,1/22/2019,S69,C801,offering,Indonesian Fire Insurance Standard Policy,7900000
1/10/2019,1/22/2019,S85,C899,closed,Pru Accident Guard,2500000
1/10/2019,1/22/2019,S53,C326,drop,Injuries Protection (AIG),6000000
1/10/2019,1/22/2019,S17,C432,negotiation,Credit Life Insurance,5400000
1/10/2019,1/22/2019,S31,C238,initial,Smart Protection Mortgage,100000
1/10/2019,1/22/2019,S41,C937,negotiation,Credit Life Insurance,4300000
1/10/2019,1/23/2019,S48,C848,closed,Pru Accident Guard,6300000
1/10/2019,1/23/2019,S60,C973,initial,Pru Accident Guard,5800000
1/10/2019,1/23/2019,S73,C739,closed,Credit Life Insurance,5300000
1/10/2019,1/23/2019,S7,C349,negotiation,Smart Life Protection,5500000
1/10/2019,1/23/2019,S52,C370,negotiation,Indonesian Fire Insurance Standard Policy,300000
1/10/2019,1/23/2019,S63,C338,initial,Pru Accident Guard Plus,9200000
1/10/2019,1/23/2019,S88,C246,initial,Pru Accident Guard,100000
1/10/2019,1/23/2019,S3,C433,initial,Pru Accident Guard,9000000
1/10/2019,1/23/2019,S87,C196,identified,Credit Life Insurance,3000000
1/10/2019,1/23/2019,S73,C155,offering,Smart Life Protection,2800000
1/10/2019,1/23/2019,S20,C232,negotiation,Pru Accident Guard Plus,8600000
1/10/2019,1/23/2019,S29,C60,drop,Smart Life Protection,8100000
1/10/2019,1/23/2019,S46,C575,closed,Indonesian Fire Insurance Standard Policy,5200000
1/10/2019,1/23/2019,S80,C978,identified,Pru Accident Guard,900000
1/10/2019,1/23/2019,S22,C59,closed,Personal Belongings Protection,2100000
1/11/2019,1/23/2019,S81,C895,initial,Versa Credit Protection,6000000
1/11/2019,1/23/2019,S35,C953,drop,Personal Belongings Protection,5900000
1/11/2019,1/23/2019,S65,C639,drop,Pru Accident Guard Plus,2300000
1/11/2019,1/23/2019,S83,C441,closed,Smart Protection Mortgage,2400000
1/11/2019,1/23/2019,S46,C160,offering,Smart Protection Mortgage,7100000
1/11/2019,1/23/2019,S71,C366,closed,Injuries Protection (AIG),400000
1/11/2019,1/23/2019,S83,C879,offering,Indonesian Fire Insurance Standard Policy,500000
1/11/2019,1/24/2019,S31,C625,drop,Versa Credit Protection,600000
1/11/2019,1/24/2019,S28,C843,offering,Pru Accident Guard Plus,5200000
1/11/2019,1/24/2019,S22,C775,drop,Prumortgage Protection,3900000
1/11/2019,1/24/2019,S4,C519,identified,Smart Life Protection,9900000
1/11/2019,1/24/2019,S42,C67,closed,Prumortgage Protection,3300000
1/11/2019,1/24/2019,S23,C46,closed,Credit Life Insurance,300000
1/11/2019,1/24/2019,S61,C457,offering,Smart Protection Mortgage,500000
1/11/2019,1/24/2019,S5,C887,drop,Smart Life Protection,8700000
1/11/2019,1/24/2019,S40,C769,identified,Pru Accident Guard,3500000
1/11/2019,1/24/2019,S49,C702,negotiation,Personal Belongings Protection,1300000
1/11/2019,1/24/2019,S67,C184,negotiation,Injuries Protection (AIG),500000
1/11/2019,1/24/2019,S89,C463,initial,Credit Life Insurance,5400000
1/11/2019,1/24/2019,S19,C835,identified,Versa Credit Protection,6900000
1/11/2019,1/24/2019,S62,C920,closed,Smart Life Protection,8200000
1/11/2019,1/24/2019,S76,C344,identified,Smart Protection Mortgage,6000000
1/11/2019,1/24/2019,S83,C177,initial,Smart Protection Mortgage,2800000
1/11/2019,1/24/2019,S43,C705,drop,Smart Protection Mortgage,1200000
1/11/2019,1/24/2019,S11,C920,initial,Personal Belongings Protection,800000
1/11/2019,1/24/2019,S40,C498,drop,Injuries Protection (AIG),5700000
1/11/2019,1/24/2019,S22,C146,identified,Pru Accident Guard,7600000
1/11/2019,1/24/2019,S13,C92,identified,Versa Credit Protection,300000
1/11/2019,1/25/2019,S44,C861,offering,Pru Accident Guard,5400000
1/11/2019,1/25/2019,S100,C7,closed,Credit Life Insurance,6700000
1/12/2019,1/25/2019,S15,C463,negotiation,Credit Life Insurance,7000000
1/12/2019,1/25/2019,S29,C448,initial,Pru Accident Guard,7800000
1/12/2019,1/25/2019,S93,C219,closed,Personal Belongings Protection,1400000
1/12/2019,1/25/2019,S33,C803,identified,Personal Belongings Protection,2600000
1/12/2019,1/25/2019,S39,C793,negotiation,Smart Protection Mortgage,5400000
1/12/2019,1/25/2019,S99,C88,closed,Smart Protection Mortgage,5300000
1/12/2019,1/25/2019,S24,C464,drop,Pru Accident Cover,6800000
1/12/2019,1/25/2019,S96,C709,negotiation,Pru Accident Guard,7400000
1/12/2019,1/25/2019,S31,C471,negotiation,Credit Life Insurance,9100000
1/12/2019,1/25/2019,S11,C263,closed,Smart Life Protection,6400000
1/12/2019,1/25/2019,S75,C996,drop,Pru Accident Guard Plus,8800000
1/12/2019,1/25/2019,S20,C566,closed,Pru Accident Guard,4600000
1/12/2019,1/26/2019,S6,C260,initial,Smart Life Protection,2300000
1/12/2019,1/26/2019,S61,C324,drop,Prumortgage Protection,4300000
1/12/2019,1/26/2019,S67,C544,negotiation,Smart Protection Mortgage,1600000
1/12/2019,1/26/2019,S25,C352,initial,Pru Accident Guard,7800000
1/12/2019,1/26/2019,S71,C352,identified,Injuries Protection (AIG),800000
1/12/2019,1/26/2019,S39,C301,offering,Indonesian Fire Insurance Standard Policy,5100000
1/12/2019,1/26/2019,S79,C531,offering,Pru Accident Cover,3500000
1/12/2019,1/26/2019,S22,C14,closed,Prumortgage Protection,100000
1/12/2019,1/26/2019,S81,C671,offering,Smart Protection Mortgage,7300000
1/12/2019,1/26/2019,S87,C246,negotiation,Versa Credit Protection,6700000
1/12/2019,1/26/2019,S80,C998,identified,Smart Life Protection,8400000
1/12/2019,1/26/2019,S25,C496,drop,Smart Protection Mortgage,2600000
1/12/2019,1/26/2019,S57,C440,initial,Pru Accident Guard Plus,1200000
1/12/2019,1/26/2019,S9,C669,closed,Pru Accident Guard,5700000
1/12/2019,1/26/2019,S15,C281,negotiation,Credit Life Insurance,7300000
1/12/2019,1/26/2019,S98,C214,closed,Pru Accident Guard Plus,9400000
1/12/2019,1/26/2019,S37,C134,closed,Pru Accident Cover,2200000
1/12/2019,1/26/2019,S63,C321,closed,Pru Accident Guard Plus,1600000
1/12/2019,1/26/2019,S56,C250,initial,Pru Accident Guard Plus,6500000
1/13/2019,1/26/2019,S51,C510,negotiation,Personal Belongings Protection,4900000
1/13/2019,1/27/2019,S38,C872,initial,Credit Life Insurance,1600000
1/13/2019,1/27/2019,S45,C331,closed,Pru Accident Cover,7700000
1/13/2019,1/27/2019,S70,C64,identified,Pru Accident Guard Plus,6900000
1/13/2019,1/27/2019,S92,C425,closed,Pru Accident Cover,7500000
1/13/2019,1/27/2019,S70,C760,initial,Injuries Protection (AIG),3400000
1/13/2019,1/27/2019,S86,C183,initial,Injuries Protection (AIG),9100000
1/13/2019,1/27/2019,S93,C196,identified,Pru Accident Guard Plus,6600000
1/13/2019,1/27/2019,S84,C626,closed,Credit Life Insurance,9700000
1/13/2019,1/27/2019,S96,C907,offering,Injuries Protection (AIG),1700000
1/13/2019,1/27/2019,S14,C821,closed,Prumortgage Protection,2000000
1/13/2019,1/27/2019,S54,C684,offering,Personal Belongings Protection,1900000
1/13/2019,1/27/2019,S56,C780,closed,Versa Credit Protection,7900000
1/13/2019,1/27/2019,S79,C713,identified,Versa Credit Protection,9000000
1/13/2019,1/27/2019,S100,C858,negotiation,Versa Credit Protection,3800000
1/13/2019,1/27/2019,S31,C128,offering,Versa Credit Protection,7900000
1/13/2019,1/27/2019,S29,C924,identified,Pru Accident Cover,4800000
1/13/2019,1/27/2019,S74,C277,drop,Personal Belongings Protection,8700000
